block_id,full_name,block_len_ft,n_transects,n_measured,coverage,curb_min_ft,curb_median_ft,curb_p95_ft,curb_max_ft,curb_max_with_corners_ft,curb_min_outer_ft,curb_max_outer_ft,n_outer_curb,n_shoulder_edge,n_median_edge,n_flexcurb,n_at_window,edge_quality,edge_line_each_side_ft,edge_line_one_side_ft,already_18_ft,needs_line_ft,unmeasured_ft,width_test_18ft,confident_18ft
11772,SE CLINTON ST,147.6,18,18,1.0,8.0,8.0,8.0,8.0,26.5,,,0,18,0,0,0,no street curb,-5.0,-10.0,90.0,0.0,57.6,true,false
13101,SE HAROLD ST,251.8,39,39,1.0,8.0,8.0,8.0,8.0,33.3,,,0,39,0,0,0,no street curb,-5.0,-10.0,195.0,0.0,56.8,true,false
14958,SE CLINTON ST,234.6,35,35,1.0,8.0,8.0,8.0,8.0,50.5,,,0,35,0,0,0,no street curb,-5.0,-10.0,175.0,0.0,59.6,true,false
22498,N WINCHELL ST,133.2,15,15,1.0,8.0,8.0,8.0,8.0,16.2,,,0,15,0,0,0,no street curb,-5.0,-10.0,75.0,0.0,58.2,true,false
14617,SE 30TH AVE,231.5,35,35,1.0,7.9,8.1,8.2,8.3,9.4,7.9,8.3,35,0,0,0,0,street curb,-4.9,-9.7,175.0,0.0,56.5,true,true
16230,NE 19TH AVE,262.5,41,41,1.0,9.0,9.0,9.0,9.2,10.1,,,0,41,0,0,0,no street curb,-4.4,-8.8,205.0,0.0,57.5,true,false
1012,SW PARKSIDE LN,318.3,52,52,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,52,0,0,0,0,street curb,-4.0,-8.0,260.0,0.0,58.3,true,true
2812,SW 12TH AVE,254.6,39,39,1.0,9.4,9.7,9.9,10.0,25.1,,,0,39,0,0,0,no street curb,-4.0,-8.0,195.0,0.0,59.6,true,false
2834,SW 12TH AVE,245.5,38,38,1.0,10.0,10.0,10.0,10.0,16.6,,,0,38,0,0,0,no street curb,-4.0,-8.0,190.0,0.0,55.5,true,false
6460,NE 58TH CT,258.5,40,40,1.0,10.0,10.0,10.0,10.0,21.3,,,0,40,0,0,0,no street curb,-4.0,-8.0,200.0,0.0,58.5,true,false
9808,NE 89TH AVE,265.0,42,42,1.0,10.0,10.0,10.0,10.0,19.3,,,0,42,0,0,0,no street curb,-4.0,-8.0,210.0,0.0,55.0,true,false
9906,NE 89TH AVE,251.9,39,39,1.0,10.0,10.0,10.0,10.0,38.8,,,0,39,0,0,0,no street curb,-4.0,-8.0,195.0,0.0,56.9,true,false
10217,SE 36TH AVE,261.7,41,41,1.0,10.0,10.0,10.0,10.0,13.2,,,0,41,0,0,0,no street curb,-4.0,-8.0,205.0,0.0,56.7,true,false
10310,SE 36TH AVE,260.0,41,41,1.0,9.9,9.9,10.0,10.0,11.6,,,0,41,0,0,0,no street curb,-4.0,-8.0,205.0,0.0,55.0,true,false
10396,SE 36TH AVE,260.0,41,40,0.976,9.9,10.0,10.0,10.0,10.4,,,0,41,0,0,0,no street curb,-4.0,-8.0,200.0,0.0,60.0,true,false
30939,SW FREEMAN ST,632.1,115,115,1.0,10.0,10.0,10.0,10.0,29.3,,,0,115,0,0,0,no street curb,-4.0,-8.0,575.0,0.0,57.1,true,false
91,NW MIDWAY AVE,208.2,30,30,1.0,10.0,10.0,10.0,10.1,26.6,,,0,30,0,0,0,no street curb,-4.0,-7.9,150.0,0.0,58.2,true,false
1811,SW BLACKSTONE LN,141.4,17,14,0.824,8.0,9.8,10.0,10.1,10.1,9.8,10.1,13,2,0,0,0,mixed,-4.0,-7.9,70.0,0.0,71.4,true,false
23586,SW RIDGEVIEW LN,281.5,45,45,1.0,10.0,10.0,10.0,10.1,10.1,,,0,45,0,0,0,no street curb,-4.0,-7.9,225.0,0.0,56.5,true,false
1609,SW ALTA VISTA PL,268.1,43,38,0.884,8.5,9.1,10.2,10.4,60.9,8.5,10.4,38,0,0,0,0,street curb,-3.8,-7.6,190.0,0.0,78.1,true,true
