street,blocks,miles,pavement_min_ft,pavement_max_ft,shoulder_each_side_ft_worst,blocks_already_nrr,miles_already_nrr
NE THOMPSON ST,78,5.044,24,38,10.0,0,0.0
NE STANTON ST,74,4.455,24,40,11.0,0,0.0
NE HANCOCK ST,60,4.387,15,36,9.0,3,0.15
SE TAYLOR ST,60,4.314,20,36,9.0,0,0.0
NE SISKIYOU ST,73,4.247,20,44,13.0,0,0.0
NE SKIDMORE ST,65,4.201,12,40,11.0,6,0.295
NE KLICKITAT ST,74,4.127,18,36,9.0,1,0.049
SE ALDER ST,54,4.094,12,38,10.0,4,0.3
SE LINCOLN ST,54,3.883,12,36,9.0,1,0.195
SE SALMON ST,57,3.739,24,36,9.0,0,0.0
SE MADISON ST,53,3.731,24,36,9.0,0,0.0
SE WOODWARD ST,63,3.724,16,36,9.0,3,0.258
NE BEECH ST,64,3.682,12,36,9.0,11,0.542
NE TILLAMOOK ST,52,3.663,16,42,12.0,4,0.2
NE BRAZEE ST,56,3.66,20,36,9.0,0,0.0
SE YAMHILL ST,48,3.593,24,36,9.0,0,0.0
SE TIBBETTS ST,51,3.459,22,36,9.0,0,0.0
SE CLINTON ST,54,3.452,11,44,13.0,4,0.189
NE MASON ST,55,3.431,12,44,13.0,7,0.492
SE MORRISON ST,44,3.423,14,36,9.0,2,0.19
SE FRANKLIN ST,53,3.419,12,36,9.0,11,0.615
NE WYGANT ST,53,3.359,16,40,11.0,1,0.172
SE HARRISON ST,47,3.321,16,41,11.5,1,0.034
NE RODNEY AVE,41,3.184,15,36,9.0,2,0.126
NE FAILING ST,53,3.184,10,36,9.0,12,0.59
NE SCHUYLER ST,39,3.173,20,36,9.0,0,0.0
SE KNAPP ST,41,3.17,17,36,9.0,1,0.09
NE GOING ST,53,3.149,24,36,9.0,0,0.0
NE 17TH AVE,42,3.121,23,40,11.0,0,0.0
SE MAIN ST,46,3.06,12,36,9.0,1,0.13
NE DAVIS ST,48,3.017,14,42,12.0,2,0.126
NE OREGON ST,44,2.908,13,32,7.0,8,0.366
SE 45TH AVE,40,2.894,20,36,9.0,0,0.0
NE 22ND AVE,40,2.877,24,36,9.0,0,0.0
SE ASH ST,39,2.871,20,36,9.0,0,0.0
SE BROOKLYN ST,33,2.849,24,36,9.0,0,0.0
SE KNIGHT ST,34,2.834,14,40,11.0,2,0.1
SE GRANT ST,35,2.799,23,36,9.0,0,0.0
SE CENTER ST,38,2.793,18,36,9.0,1,0.125
SE 16TH AVE,51,2.78,25,40,11.0,0,0.0
NE 18TH AVE,35,2.78,14,36,9.0,2,0.074
SE PINE ST,39,2.752,10,36,9.0,1,0.046
SE MARKET ST,35,2.734,12,36,9.0,5,0.28
SE STEPHENS ST,35,2.708,22,36,9.0,0,0.0
SE CORA ST,39,2.687,12,36,9.0,2,0.095
SE 66TH AVE,27,2.669,26,29,5.5,0,0.0
SE RAYMOND ST,46,2.628,18,40,11.0,2,0.128
NE 19TH AVE,35,2.623,9,36,9.0,2,0.099
SE 36TH AVE,42,2.616,10,36,9.0,5,0.247
SE BOISE ST,34,2.587,18,36,9.0,1,0.083
SE 44TH AVE,34,2.586,20,41,11.5,0,0.0
SE 31ST AVE,30,2.574,26,36,9.0,0,0.0
SE 34TH AVE,34,2.573,24,36,9.0,0,0.0
SE 29TH AVE,33,2.561,28,36,9.0,0,0.0
NE COUCH ST,32,2.525,12,36,9.0,2,0.126
SE RAMONA ST,33,2.514,24,50,16.0,0,0.0
NE MULTNOMAH ST,37,2.509,12,34,8.0,14,0.673
NE FLANDERS ST,37,2.505,12,32,7.0,2,0.127
SE BUSH ST,36,2.502,18,36,9.0,3,0.148
NE EVERETT ST,39,2.499,18,36,9.0,1,0.044
SE FRANCIS ST,37,2.496,15,36,9.0,2,0.096
NE 26TH AVE,31,2.461,24,32,7.0,0,0.0
NE HASSALO ST,34,2.459,10,50,16.0,11,0.698
NE 37TH AVE,28,2.449,24,36,9.0,0,0.0
NE 30TH AVE,33,2.448,24,44,13.0,0,0.0
SE 70TH AVE,25,2.441,24,32,7.0,0,0.0
SE 64TH AVE,21,2.439,18,32,7.0,1,0.047
SE 84TH AVE,26,2.435,12,36,9.0,2,0.149
SE 65TH AVE,25,2.431,20,32,7.0,0,0.0
NE BROADWAY,31,2.409,24,40,11.0,0,0.0
NE SUMNER ST,26,2.403,22,32,7.0,0,0.0
SE 35TH AVE,31,2.395,15,50,16.0,2,0.099
