street_oid,localid,full_name,type_code,len_ft,row_width_ft,row_width_mode_ft,row_width_spread_ft,row_left_ft,row_right_ft,row_offcenter_ft,row_confidence,road_width_ft,non_roadway_ft,functional_class,maint_resp
28002,197887,BURNSIDE BRG,1300,182.5,117.5,115.0,4.1,54.4,64.0,9.6,medium,,,,
24707,197177,E BURNSIDE ST,1400,333.8,94.2,94.0,1.9,12.0,82.2,70.2,medium,,,,
32587,500669,E BURNSIDE ST,1300,105.5,85.2,85.0,0.0,33.2,51.3,18.2,medium,,,,
29400,197190,E BURNSIDE ST,1400,661.2,110.0,110.0,0.9,35.4,74.8,39.5,high,72.0,38.0,UC,PDXTRANS
29392,138520,E BURNSIDE ST,1400,658.2,120.9,121.0,4.3,28.2,92.5,64.4,medium,96.0,24.9,UC,PDXTRANS
28738,138739,E BURNSIDE ST,1400,325.8,110.0,110.0,3.4,21.1,88.9,67.8,medium,,,,
28736,183033,E BURNSIDE ST,1400,202.8,120.1,120.0,0.0,33.1,87.0,53.9,high,,,,
28452,197261,E BURNSIDE ST,1400,331.7,124.7,125.0,1.9,25.8,98.7,72.9,medium,,,,
28335,197207,E BURNSIDE ST,1400,528.4,119.8,120.0,0.7,35.8,84.0,48.1,high,,,,
28328,197199,E BURNSIDE ST,1400,660.5,100.0,100.0,1.2,24.4,75.4,51.0,medium,,,,
28318,197174,E BURNSIDE ST,1400,342.3,115.9,116.0,0.3,32.4,83.6,51.2,high,,,,
24710,197197,E BURNSIDE ST,1400,661.5,100.0,100.0,0.0,24.1,75.9,51.8,high,,,,
28004,138137,E BURNSIDE ST,1300,261.8,80.0,80.0,0.0,38.7,41.3,2.5,high,,,,
29427,199129,E BURNSIDE ST,1300,126.9,90.1,90.0,4.1,55.8,34.3,-21.4,medium,,,,
9747,138148,E BURNSIDE ST,1300,271.9,90.0,90.0,0.0,45.3,44.7,-0.5,high,56.0,34.0,UPAO,PDXTRANS
9749,138151,E BURNSIDE ST,1300,260.0,84.0,84.0,0.0,42.0,42.0,-0.1,high,58.0,26.0,UPAO,PDXTRANS
18013,190724,E BURNSIDE ST,1300,129.8,84.0,84.0,0.0,42.0,42.0,-0.1,high,58.0,26.0,UPAO,PDXTRANS
18014,190725,E BURNSIDE ST,1300,130.2,84.0,84.0,0.0,42.0,42.0,-0.1,high,,,,
9755,114227,E BURNSIDE ST,1300,260.0,84.0,84.0,0.0,42.1,41.9,-0.1,high,58.0,26.0,UPAO,PDXTRANS
9761,114239,E BURNSIDE ST,1300,260.0,84.0,84.0,0.0,42.1,42.0,-0.1,high,58.0,26.0,UPAO,PDXTRANS
9765,114263,E BURNSIDE ST,1300,260.0,84.0,84.0,0.0,42.0,42.0,-0.1,high,58.0,26.0,UPAO,PDXTRANS
9767,114268,E BURNSIDE ST,1300,260.0,84.0,84.0,0.0,41.7,42.3,0.6,high,58.0,26.0,UPAO,PDXTRANS
32583,114281,E BURNSIDE ST,1300,164.7,84.0,84.0,0.0,43.4,40.6,-2.8,high,,,,
32585,500667,E BURNSIDE ST,1300,154.4,84.0,84.0,0.0,42.0,42.0,-0.1,high,,,,
37650,500666,E BURNSIDE ST,1300,158.8,80.0,80.0,0.0,40.4,39.6,-0.8,high,,,,
37647,114323,E BURNSIDE ST,1300,260.0,80.0,80.0,0.0,40.1,39.9,-0.1,high,56.0,24.0,UMiA,PDXTRANS
9775,114332,E BURNSIDE ST,1300,260.0,80.0,80.0,0.0,40.1,39.9,-0.1,high,56.0,24.0,UMiA,PDXTRANS
9777,114338,E BURNSIDE ST,1300,260.0,80.0,80.0,0.0,40.0,40.0,-0.1,high,56.0,24.0,UMiA,PDXTRANS
9780,114346,E BURNSIDE ST,1300,285.5,80.0,80.0,0.0,39.7,40.2,0.5,high,56.0,24.0,UMiA,PDXTRANS
9782,114349,E BURNSIDE ST,1300,233.4,83.0,83.0,3.0,39.8,43.3,3.5,medium,56.0,27.0,UMiA,PDXTRANS
