full_name,n_segments,len_ft,len_mi,row_width_ft,row_width_mode_ft,row_width_min_ft,row_width_max_ft,n_with_row_width,n_row_confident,road_width_ft,road_width_min_ft,road_width_max_ft,n_with_road_width,functional_class,maint_resp
10TH ST,3,405.5,0.077,,,,,0,0,,,,0,,
11TH ST,1,238.2,0.045,,,,,0,0,,,,0,,
12TH ST,1,237.9,0.045,,,,,0,0,,,,0,,
13TH ST,1,121.7,0.023,,,,,0,0,,,,0,,
4TH ST,2,522.8,0.099,,,,,0,0,,,,0,,
5TH ST,1,345.1,0.065,,,,,0,0,,,,0,,
6TH ST,2,408.9,0.077,,,,,0,0,,,,0,,
7TH ST,1,226.3,0.043,,,,,0,0,,,,0,,
8TH ST,1,227.9,0.043,,,,,0,0,,,,0,,
9TH ST,1,266.6,0.05,,,,,0,0,,,,0,,
A LN,1,333.1,0.063,240.4,240.0,240.4,240.4,1,0,,,,0,,
A ST,4,2227.9,0.422,,,,,0,0,,,,0,,
B LN,1,232.6,0.044,,,,,0,0,,,,0,,
B ST,2,981.1,0.186,,,,,0,0,,,,0,,
BARBUR TC,2,545.5,0.103,27.3,27.0,27.3,27.3,1,0,,,,0,,
BROADWAY BRG,6,1881.4,0.356,79.5,70.0,70.0,129.6,2,0,,,,0,,
BURNETT RD,2,1577.4,0.299,,,,,0,0,,,,0,,
BURNSIDE BRG,9,1415.7,0.268,122.5,115.0,117.5,124.5,2,1,,,,0,,
C LN,1,274.5,0.052,,,,,0,0,,,,0,,
C ST,9,1781.9,0.337,,,,,0,0,,,,0,,
CAREY ST,9,2188.9,0.415,,,,,0,0,,,,0,,
CARL ST,9,1477.4,0.28,,,,,0,0,,,,0,,
CASE RD,3,1182.8,0.224,,,,,0,0,,,,0,,
CEDAR ST,3,378.5,0.072,,,,,0,0,,,,0,,
CHENOWITH ST,1,312.5,0.059,,,,,0,0,,,,0,,
CHIN ST,4,761.1,0.144,,,,,0,0,,,,0,,
D LN,2,547.6,0.104,,,,,0,0,,,,0,,
D ST,1,582.3,0.11,,,,,0,0,,,,0,,
DOGWOOD ST,1,203.4,0.039,,,,,0,0,,,,0,,
E BURNSIDE ST,169,60396.5,11.439,94.6,60.0,50.2,165.4,163,95,56.9,36.0,96.0,82,UC,PDXTRANS
E BURNSIDE ST FRONTAGE RD,2,665.0,0.126,150.0,150.0,150.0,150.0,2,2,28.0,28.0,28.0,2,UL,PDXTRANS
E LN,1,325.5,0.062,,,,,0,0,,,,0,,
E ST,1,527.7,0.1,,,,,0,0,,,,0,,
EAST ACCESS LN,2,1272.9,0.241,,,,,0,0,,,,0,,
EAST MAINTENANCE RD,1,214.5,0.041,,,,,0,0,,,,0,,
EXPO TC,4,4670.8,0.885,,,,,0,0,,,,0,,
F LN,1,220.7,0.042,,,,,0,0,,,,0,,
F ST,1,379.9,0.072,,,,,0,0,,,,0,,
FIR ST,4,429.5,0.081,,,,,0,0,,,,0,,
FISHER ST,3,848.9,0.161,,,,,0,0,,,,0,,
FLEMING ST,4,1916.9,0.363,,,,,0,0,,,,0,,
FREMONT BRG,10,4036.2,0.764,171.6,111.0,136.9,273.3,6,0,15.0,15.0,15.0,1,UL,PRIVATE
FT OF N HOLLADAY ST,1,130.0,0.025,76.7,81.0,76.7,76.7,1,0,,,,0,,
FT OF SE MADISON ST,1,97.5,0.018,,,,,0,0,,,,0,,
FT OF SE MARION ST,1,100.1,0.019,,,,,0,0,,,,0,,
G LN,1,725.3,0.137,,,,,0,0,,,,0,,
G ST,14,6780.6,1.284,,,,,0,0,,,,0,,
GATEWAY TC,5,1495.5,0.283,,,,,0,0,,,,0,,
H ST,2,791.5,0.15,,,,,0,0,,,,0,,
HAMPSHIRE BLVD,9,4361.4,0.826,204.9,205.0,204.9,204.9,1,0,,,,0,,
HAWTHORNE BRG,6,1760.8,0.333,67.5,60.0,59.6,80.1,5,4,,,,0,,
HAYES LOOP,3,1360.6,0.258,,,,,0,0,,,,0,,
HOLGATE LN,2,3975.0,0.753,60.2,60.0,60.2,60.5,2,1,,,,0,,
HWY 30,15,6660.0,1.261,267.6,250.0,116.1,321.5,15,2,,,,0,,
I205 FWY NB,72,52327.6,9.911,370.0,324.0,295.6,402.8,9,1,,,,0,,
I205 FWY SB,70,51647.9,9.782,397.4,400.0,274.2,477.0,8,1,,,,0,,
I405 FWY NB,55,14116.7,2.674,334.7,320.0,68.3,450.6,33,13,,,,0,,
I405 FWY SB,57,13662.6,2.588,332.7,359.0,51.3,423.2,38,12,,,,0,,
I405 FWY-I5 FWY RAMP,11,3670.0,0.695,351.6,293.0,292.7,462.2,4,0,,,,0,,
I405 FWY-MARQUAM BRG RAMP,16,2284.5,0.433,244.3,293.0,124.9,384.5,6,1,,,,0,,
I5 FWY NB,129,79933.9,15.139,285.5,320.0,7.1,480.6,79,12,,,,0,,
I5 FWY SB,125,77681.3,14.712,282.4,320.0,110.3,438.0,71,9,,,,0,,
I5 FWY-CORBETT AVE RAMP,1,588.7,0.111,235.8,228.0,235.8,235.8,1,0,,,,0,,
I5 FWY-I405 FWY RAMP,12,3155.1,0.598,359.9,348.0,292.1,463.5,5,0,,,,0,,
I84 FWY EB,54,49215.7,9.321,280.6,280.0,221.9,368.3,38,3,,,,0,,
I84 FWY WB,53,49428.4,9.361,284.2,280.0,228.0,463.1,38,2,,,,0,,
J ST,3,1188.1,0.225,,,,,0,0,,,,0,,
JERNSTEDT ST,1,848.8,0.161,,,,,0,0,,,,0,,
JOHNSON AVE,6,3416.6,0.647,,,,,0,0,,,,0,,
K ST,1,927.5,0.176,,,,,0,0,,,,0,,
KERR PKWY,1,14.0,0.003,,,,,0,0,,,,0,,
L ST,1,391.7,0.074,,,,,0,0,,,,0,,
MAHONEY AVE,6,1356.1,0.257,,,,,0,0,,,,0,,
MAIN ST,11,1321.0,0.25,,,,,0,0,,,,0,,
MARQUAM BRG,4,2506.8,0.475,,,,,0,0,,,,0,,
MARQUAM BRG-I405 FWY RAMP,13,1937.1,0.367,221.1,226.0,103.9,291.0,6,0,,,,0,,
MCCAMPBELL ST,2,382.6,0.072,,,,,0,0,,,,0,,
MEADOWLAND LN,1,2307.6,0.437,,,,,0,0,,,,0,,
MILLER ST,2,375.0,0.071,,,,,0,0,,,,0,,
MORRISON BRG,3,825.5,0.156,,,,,0,0,,,,0,,
MT TABOR,1,345.1,0.065,,,,,0,0,,,,0,,
N 22ND PL,2,741.1,0.14,,,,,0,0,,,,0,,
N ADRIATIC AVE,13,1813.3,0.343,58.2,58.0,57.6,58.7,13,13,30.4,28.0,32.0,3,UL,PDXTRANS
N AINSWORTH ST,40,8288.6,1.57,74.8,80.0,59.5,110.8,34,34,35.8,28.0,44.0,28,UC,PDXTRANS
N ALASKA PL,1,613.6,0.116,50.0,50.0,50.0,50.0,1,1,30.0,30.0,30.0,1,UL,PDXTRANS
N ALASKA ST,5,2221.3,0.421,57.4,60.0,47.3,60.0,5,4,33.8,30.0,36.0,3,UC,PDXTRANS
N ALBERTA ST,22,6565.9,1.244,61.8,60.0,54.0,293.0,17,14,36.2,30.0,44.0,13,UC,PDXTRANS
N ALBERTA ST-I5 FWY RAMP,7,3107.1,0.588,320.8,320.0,320.4,321.8,3,1,26.6,26.6,26.6,1,UL,PDXTRANS
N ALBINA AVE,53,16640.2,3.152,63.9,70.0,50.0,167.8,53,46,39.0,20.0,46.0,44,UC,PDXTRANS
N ALDER AVE,1,605.5,0.115,,,,,0,0,,,,0,,
N ALLEGHENY AVE,9,3777.2,0.715,56.5,60.0,44.0,60.0,9,7,32.9,24.0,36.0,9,UL,PDXTRANS
N ALMA AVE,10,2904.2,0.55,60.0,60.0,60.0,60.0,10,10,33.9,24.0,36.0,10,UL,PDXTRANS
N ALTA AVE,7,1561.3,0.296,60.0,60.0,60.0,60.0,7,7,36.0,36.0,36.0,5,UL,PDXTRANS
