street_oid,localid,full_name,type_code,len_ft,row_width_ft,row_width_mode_ft,row_width_min_ft,row_width_max_ft,row_width_spread_ft,row_width_any_ft,row_left_ft,row_right_ft,row_offcenter_ft,row_confidence,row_n_transects,row_n_measured,road_width_ft,pave_width_ft,road_width_min_ft,road_width_max_ft,lanes,has_curb,surface_type,functional_class,owner,maint_resp,pci,n_pms_sections,non_roadway_ft,is_unimproved_row,row_flag_centerline_in_taxlot,row_flag_missing_lots,row_flag_at_transect_cap,flag_short_segment,left_from,left_to,right_from,right_to,left_jur,right_jur
2,191056,NE 13TH AVE,1500,646.3,83.6,89.0,59.8,188.8,129.1,83.6,45.9,32.8,-13.2,low,24,24,20.0,20.0,20,20,2,false,AC/AC,UC,PDXTRANS,PDXTRANS,38.0,1,63.6,false,false,false,false,false,10201,10499,10200,10498,PORT,PORT
3,191053,NE 84TH AVE,1500,84.8,47.5,47.0,46.9,54.3,7.4,47.5,24.5,23.0,-1.5,low,5,5,28.0,25.0,28,28,2,true,AC/AC,UL,PDXTRANS,PDXTRANS,71.0,1,19.5,false,false,false,false,false,2701,2749,2700,2748,PORT,PORT
4,191120,SE 89TH AVE,1500,317.9,40.0,40.0,40.0,40.0,0.0,40.0,19.1,20.9,1.7,high,11,11,20.0,12.4,20,20,2,true,AC/AC,UL,PDXTRANS,PDXTRANS,73.5,2,20.0,false,false,false,false,false,7910,8078,7911,8079,PORT,PORT
7,191187,SW 47TH AVE,1500,198.9,50.0,50.0,50.0,50.0,0.0,50.0,25.8,24.2,-1.6,high,6,6,23.7,11.2,20,28,2,true,AC/AC,UL,PDXTRANS,PDXTRANS,24.5,2,26.3,false,false,false,false,false,8600,8728,8601,8729,PORT,PORT
8,191217,SE 115TH AVE,1500,277.7,50.0,50.0,49.9,252.7,202.8,50.0,26.2,23.7,-2.4,low,9,9,22.0,22.0,22,22,2,true,AC/AC,UL,PDXTRANS,PDXTRANS,53.0,1,28.0,false,false,false,false,false,4500,4548,4501,4549,PORT,PORT
10,191220,NE SKIDMORE ST,1500,333.9,60.0,60.0,60.0,60.0,0.0,60.0,30.1,29.9,-0.2,high,11,11,21.0,21.0,21,21,2,true,AC/AC,UL,PDXTRANS,PDXTRANS,66.0,1,39.0,false,false,false,false,false,5247,5399,5246,5398,PORT,PORT
11,191228,SE STEELE ST,1500,307.6,60.2,60.0,60.2,67.2,7.0,60.2,28.3,32.0,3.8,low,10,10,26.0,24.0,26,26,2,true,AC/AC,UL,PDXTRANS,PDXTRANS,39.0,1,34.2,false,false,false,false,false,13901,13999,13900,13998,PORT,PORT
12,191303,SW VESTA ST,1500,592.8,60.0,60.0,60.0,60.0,0.0,60.0,30.0,30.0,0.0,high,22,22,26.0,26.0,26,26,2,true,AC/AC,UL,PDXTRANS,PDXTRANS,60.0,1,34.0,false,false,false,false,false,3500,3698,3501,3699,PORT,PORT
14,210056,SW TERRI CT,1500,433.7,50.0,50.0,50.0,83.4,33.4,50.0,31.3,18.7,-12.6,low,15,15,32.0,32.0,32,32,2,true,AC/AC,UL,WASHCO,PDXTRANS,31.0,1,18.0,false,false,false,false,false,6500,6698,6501,6699,PORT,PORT
15,218661,SW 66TH AVE,1500,152.2,70.4,50.0,50.0,89.5,39.5,70.4,21.7,48.7,27.0,low,5,5,32.0,30.0,32,32,2,true,AC/AC,UL,WASHCO,PDXTRANS,72.0,1,38.4,false,false,false,false,false,11100,11198,11101,11199,PORT,PORT
16,218662,SW LOCUST ST,1500,315.1,50.0,50.0,50.0,61.3,11.3,50.0,15.6,34.5,18.9,low,10,10,32.0,30.0,32,32,2,true,AC/AC,UL,WASHCO,PDXTRANS,61.0,1,18.0,false,false,false,false,false,6500,6598,6501,6599,PORT,PORT
20,190168,NW ST HELENS RD,1200,2150.1,171.6,135.0,135.0,240.2,105.2,171.6,60.4,107.9,47.5,low,40,40,78.0,78.0,78,78,4,true,AC/AC,UPAO,ODOT,ODOT,56.0,2,93.6,false,false,false,false,false,11615,12299,11614,12298,PORT,PORT
23,100777,NW 112TH AVE,1500,204.8,60.0,60.0,60.0,60.0,0.0,60.0,30.5,29.5,-0.9,high,6,5,20.0,20.0,20,20,2,false,AC,UL,PDXTRANS,PDXTRANS,10.0,1,40.0,false,false,true,false,false,9900,9998,9901,9999,PORT,PORT
24,100787,NW FRONT AVE,1500,259.4,30.0,30.0,30.0,30.0,0.0,30.0,14.0,16.0,2.0,high,8,8,24.1,5.8,16,28,2,false,AC/AC,UL,PDXTRANS,PDXTRANS,36.5,2,5.9,false,false,false,false,false,11101,11199,11100,11198,PORT,PORT
25,100804,NW ST HELENS RD,1200,242.1,206.3,207.0,203.9,207.2,3.3,206.3,48.0,158.3,110.4,medium,7,7,72.9,62.9,68,78,4,true,AC/AC,UPAO,ODOT,ODOT,52.0,2,133.4,false,false,false,false,false,11101,11199,11100,11198,PORT,PORT
27,100810,NW FRONT AVE,1500,255.0,30.0,30.0,30.0,30.0,0.0,30.0,14.2,15.8,1.7,high,8,8,8.0,1.0,8,8,1,false,GRAVEL,UL,PDXTRANS,PRIVATE,0.0,1,22.0,false,false,false,false,false,11001,11099,11000,11098,PORT,PORT
28,100823,NW 110TH AVE,1500,157.2,48.0,48.0,48.0,48.0,0.0,48.0,24.7,23.3,-1.4,high,5,5,28.0,1.0,28,28,1,false,UN,UL,PDXTRANS,PRIVATE,0.0,1,20.0,false,false,false,false,false,10000,10088,10001,10089,PORT,PORT
29,100837,NW FRONT AVE,1500,265.5,60.0,60.0,60.0,60.0,0.0,60.0,43.7,16.3,-27.3,high,8,8,8.0,1.0,8,8,1,false,GRAVEL,UL,PDXTRANS,PRIVATE,0.0,1,52.0,false,false,false,false,false,10901,10999,10900,10998,PORT,PORT
30,100867,NW 109TH AVE,1500,161.3,60.0,60.0,60.0,63.0,3.0,60.0,30.5,29.5,-1.0,medium,5,5,28.0,1.0,28,28,1,false,GRAVEL,UL,PDXTRANS,PRIVATE,0.0,1,32.0,false,false,false,false,false,10000,10088,10001,10089,PORT,PORT
31,100884,NW 109TH AVE,1500,137.4,60.0,60.0,60.0,60.0,0.0,60.0,29.0,31.0,2.1,high,5,5,26.0,26.0,26,26,2,false,AC,UL,PDXTRANS,PDXTRANS,0.0,1,34.0,false,false,false,false,false,10110,10198,10111,10199,PORT,PORT
32,100885,NW ST HELENS RD,1200,261.4,66.5,60.0,60.1,78.1,18.0,66.5,33.0,33.6,0.6,low,8,8,68.0,58.0,68,68,4,true,AC/AC,UPAO,ODOT,ODOT,64.0,1,-1.5,false,false,false,false,false,10901,10999,10900,10998,PORT,PORT
